customer_id,first_name,last_name,email,phone,join_date,country
C0055,Grace,,user55@gmail,8123456789,2023/07/28,Nigeria
C0056,Grace,,user56@gmail,08123456789,2023-07-31,Nigeria
C0057,Esther,,user57@gmail.com,,08-05-2023,Nigeria
C0058,Mary,Williams,user58@gmail.com,0803-123-4567,2023-04-24,NG
C0059,Esther,Ola,user59@gmail.com,08123456789,2023-04-25,Nigeria
C0060,,Ola,user60@gmail.com,08031234567,23-05-2023,NG
C0061,Esther,Smith,user61@gmail,07012345678,2023/04/02,NG
C0062,John,Smith,user62@gmail.com,07012345678,10-06-2023,Nigeria
C0063,,Ali,user63@gmail,08031234567,29-12-2023,Nigeria
C0064,Grace,Ola,user64@gmail.com,,2023/06/19,NG
C0065,Mary,,user65@gmail.com,8123456789,2023/06/08,NG
C0066,Esther,Williams,user66@gmail.com,8123456789,2023-03-07,NG
C0067,,,user67@gmail.com,08123456789,2023/11/12,NG
C0068,,Ali,user68@gmail.com,07012345678,2023-05-27,NG
C0069,Esther,Williams,user69@gmail.com,,2023/04/20,NG
C0070,Ahmed,,user70@gmail,8123456789,2023/12/06,NG
C0071,Mary,,user71@gmail.com,08123456789,11-12-2023,Nigeria
C0072,Grace,Khan,user72@gmail,08123456789,2023/09/01,Nigeria
C0073,,Williams,user73@gmail.com,8123456789,2023/04/10,NG
C0074,,Williams,user74@gmail.com,,2023-12-19,Nigeria
C0075,,Khan,user75@gmail,,23-09-2023,Nigeria
C0076,Grace,,user76@gmail,08123456789,2023/08/26,NG
C0077,,Ali,user77@gmail.com,8123456789,2023/08/07,NG
C0078,Ahmed,,user78@gmail.com,0803-123-4567,2023-05-13,NG
C0079,,,user79@gmail.com,0803-123-4567,2023/02/09,NG
C0080,Grace,Ola,user80@gmail.com,8123456789,2023-02-11,Nigeria
C0081,Grace,Williams,user81@gmail.com,,2023-04-20,NG
C0082,,Ola,user82@gmail.com,0803-123-4567,2023-02-01,NG
C0083,,,user83@gmail.com,,2023/01/11,NG
C0084,,Smith,user84@gmail.com,07012345678,19-07-2023,Nigeria
C0085,,Khan,user85@gmail.com,0803-123-4567,15-01-2023,NG
C0086,,,user86@gmail,0803-123-4567,2023/03/07,Nigeria
C0087,,Ali,user87@gmail.com,08031234567,2023/02/12,NG
C0088,Ahmed,,user88@gmail.com,08031234567,14-05-2023,NG
C0089,Grace,Williams,user89@gmail.com,0803-123-4567,23-05-2023,NG
C0090,Mary,Williams,user90@gmail,8123456789,27-01-2023,Nigeria
C0091,Mary,,user91@gmail.com,08031234567,2023-01-16,Nigeria
C0092,John,Ali,user92@gmail,08123456789,2023/08/31,Nigeria
C0093,Grace,Williams,user93@gmail.com,07012345678,2023/03/27,Nigeria
C0094,Ahmed,Ola,user94@gmail,08031234567,2023/06/09,NG
C0095,,,user95@gmail,8123456789,2023/12/20,Nigeria
C0096,Mary,,user96@gmail.com,,2023-11-04,Nigeria
C0097,Esther,Ali,user97@gmail.com,07012345678,2023/02/05,NG
C0098,John,,user98@gmail.com,0803-123-4567,24-02-2023,NG
C0099,,,user99@gmail,08123456789,2023/09/25,NG
C0100,,Williams,user100@gmail.com,,31-10-2023,NG
C0101,Grace,,user101@gmail.com,07012345678,2023-08-19,NG
C0102,,Ola,user102@gmail,07012345678,04-04-2023,Nigeria
C0103,Esther,,user103@gmail.com,07012345678,2023/11/02,NG
C0104,John,Ali,user104@gmail.com,08031234567,2023/05/04,NG
C0105,,Ali,user105@gmail.com,,2023/09/01,NG
C0106,,,user106@gmail,07012345678,24-04-2023,Nigeria
C0107,David,,user107@gmail.com,0803-123-4567,2023/10/11,NG
C0108,,,user108@gmail.com,07012345678,26-12-2023,NG
C0109,David,Ola,user109@gmail.com,,09-04-2023,Nigeria
C0110,Ahmed,Khan,user110@gmail.com,0803-123-4567,2023/05/22,NG
C0111,Mary,,user111@gmail,08123456789,2023-07-04,NG
C0112,John,,user112@gmail.com,07012345678,2023-01-24,NG
C0113,Ahmed,,user113@gmail.com,0803-123-4567,2023-02-22,NG
C0114,,Williams,user114@gmail.com,08123456789,27-01-2023,NG
C0115,Mary,,user115@gmail,0803-123-4567,2023/02/07,Nigeria
C0116,Ahmed,Khan,user116@gmail.com,07012345678,2023-02-13,Nigeria
C0117,,Ali,user117@gmail.com,8123456789,2023/04/26,NG
C0118,,Williams,user118@gmail.com,8123456789,08-08-2023,Nigeria
C0119,Mary,,user119@gmail.com,08123456789,2023/05/16,Nigeria
C0120,Ahmed,Khan,user120@gmail,08031234567,2023-03-22,NG
C0121,,,user121@gmail.com,07012345678,2023-01-17,NG
C0122,David,,user122@gmail.com,08031234567,2023-12-18,NG
C0123,Grace,Williams,user123@gmail,08123456789,2023-11-28,NG
C0124,Ahmed,Smith,user124@gmail,07012345678,2023/11/01,NG
C0125,,Smith,user125@gmail.com,07012345678,25-12-2023,NG
C0126,,Williams,user126@gmail,08031234567,2023/08/10,NG
C0127,David,Smith,user127@gmail,,2023/10/22,Nigeria
C0128,David,Ali,user128@gmail,08123456789,2023/08/29,NG
C0129,David,Khan,user129@gmail.com,0803-123-4567,22-11-2023,Nigeria
C0130,,Ola,user130@gmail.com,07012345678,2023-12-10,Nigeria
C0131,Esther,Williams,user131@gmail.com,07012345678,06-12-2023,Nigeria
C0132,,Smith,user132@gmail.com,07012345678,01-03-2023,Nigeria
C0133,,Williams,user133@gmail,8123456789,2023/07/05,NG
C0134,,,user134@gmail,07012345678,2023-10-09,NG
C0135,,,user135@gmail.com,08031234567,2023/11/19,Nigeria
C0136,Ahmed,Ola,user136@gmail.com,8123456789,2023-07-28,Nigeria
C0137,Mary,Williams,user137@gmail.com,,20-03-2023,NG
C0138,David,Williams,user138@gmail.com,0803-123-4567,05-05-2023,Nigeria
C0139,,Khan,user139@gmail.com,8123456789,2023-03-11,NG
C0140,,Ola,user140@gmail.com,8123456789,2023-05-17,NG
C0141,David,,user141@gmail.com,,2023-09-08,NG
C0142,,Ola,user142@gmail.com,8123456789,13-07-2023,NG
C0143,Grace,,user143@gmail.com,0803-123-4567,30-04-2023,Nigeria
C0144,Esther,,user144@gmail.com,0803-123-4567,2023/07/17,Nigeria
C0145,,Smith,user145@gmail,8123456789,2023-06-19,NG
C0146,Mary,Ali,user146@gmail.com,08031234567,15-03-2023,Nigeria
C0147,Mary,Williams,user147@gmail.com,07012345678,2023/06/23,NG
C0148,Mary,,user148@gmail.com,,01-10-2023,NG
C0149,,,user149@gmail.com,8123456789,2023-02-05,NG
C0150,Grace,,user150@gmail,08031234567,2023/11/21,Nigeria
C0151,,Khan,user151@gmail.com,08031234567,24-01-2023,Nigeria
C0152,David,Ola,user152@gmail.com,08123456789,2023/05/06,NG
C0153,Ahmed,Khan,user153@gmail,8123456789,2023/07/15,Nigeria
C0154,,Ali,user154@gmail,0803-123-4567,23-11-2023,NG
C0155,David,,user155@gmail,0803-123-4567,2023/05/28,Nigeria
C0156,Mary,Williams,user156@gmail.com,8123456789,2023/06/03,NG
C0157,David,Williams,user157@gmail.com,08123456789,16-07-2023,Nigeria
C0158,Grace,Williams,user158@gmail.com,8123456789,2023/06/01,NG
C0159,John,,user159@gmail.com,07012345678,2023/01/05,Nigeria
C0160,,,user160@gmail.com,07012345678,2023/04/28,NG
C0161,Grace,,user161@gmail,07012345678,2023/12/14,Nigeria
C0162,Mary,,user162@gmail.com,07012345678,2023-08-14,NG
C0163,Ahmed,Smith,user163@gmail.com,07012345678,2023-08-01,Nigeria
C0164,Ahmed,,user164@gmail.com,07012345678,2023/09/29,NG
C0165,Ahmed,Ola,user165@gmail.com,0803-123-4567,2023/06/01,NG
C0166,Mary,Williams,user166@gmail.com,08123456789,2023/04/26,NG
C0167,Esther,Smith,user167@gmail.com,08031234567,2023/05/16,Nigeria
C0168,,Ola,user168@gmail.com,,2023/05/15,NG
C0169,Esther,Smith,user169@gmail.com,0803-123-4567,2023/01/13,NG
C0170,Grace,,user170@gmail,0803-123-4567,25-12-2023,NG
C0171,Mary,Khan,user171@gmail,08031234567,05-06-2023,Nigeria
C0172,Mary,Khan,user172@gmail.com,08123456789,18-07-2023,NG
C0173,,Ali,user173@gmail.com,08123456789,2023/08/01,Nigeria
C0174,,Ali,user174@gmail.com,07012345678,2023/01/17,NG
C0175,Grace,Williams,user175@gmail.com,08123456789,2023-07-05,NG
C0176,Esther,Smith,user176@gmail.com,08123456789,04-03-2023,Nigeria
C0177,Grace,,user177@gmail.com,08031234567,26-01-2023,Nigeria
C0178,Ahmed,,user178@gmail.com,08031234567,2023-10-11,Nigeria
C0179,Grace,Ola,user179@gmail.com,8123456789,02-01-2023,Nigeria
C0180,Ahmed,Ali,user180@gmail.com,08123456789,2023/02/26,Nigeria
C0181,Ahmed,Smith,user181@gmail.com,08123456789,29-10-2023,Nigeria
C0182,Ahmed,Ola,user182@gmail,,2023/08/04,Nigeria
C0183,Mary,Williams,user183@gmail.com,07012345678,2023/09/20,Nigeria
C0184,,Ali,user184@gmail.com,8123456789,2023/01/23,NG
C0185,,,user185@gmail.com,08031234567,03-09-2023,NG
C0186,Mary,Williams,user186@gmail.com,0803-123-4567,2023-02-07,NG
C0187,Ahmed,Smith,user187@gmail,8123456789,2023/11/21,NG
C0188,,Ali,user188@gmail.com,0803-123-4567,2023/09/16,NG
C0189,Mary,,user189@gmail.com,,2023/11/30,Nigeria
C0190,,Williams,user190@gmail.com,0803-123-4567,23-06-2023,NG
C0191,,,user191@gmail,0803-123-4567,2023/06/10,NG
C0192,Esther,Khan,user192@gmail.com,0803-123-4567,2023-02-04,Nigeria
C0193,Mary,Williams,user193@gmail,,2023-07-10,Nigeria
C0194,Esther,,user194@gmail,07012345678,07-12-2023,Nigeria
C0195,David,Ali,user195@gmail.com,08031234567,2023/10/23,Nigeria
C0196,Ahmed,,user196@gmail.com,08031234567,2023/06/29,NG
C0197,Mary,,user197@gmail.com,08123456789,2023/08/08,Nigeria
C0198,David,Smith,user198@gmail,,08-06-2023,NG
C0199,John,Khan,user199@gmail.com,8123456789,03-12-2023,Nigeria
C0200,Ahmed,,user200@gmail.com,08031234567,2023/02/16,Nigeria
C0201,,Williams,user201@gmail.com,08123456789,09-07-2023,NG
C0202,Mary,Smith,user202@gmail,8123456789,2023/01/26,Nigeria
C0203,David,Williams,user203@gmail.com,0803-123-4567,07-11-2023,NG
C0204,David,Khan,user204@gmail.com,08031234567,26-06-2023,Nigeria
C0205,David,,user205@gmail.com,0803-123-4567,2023/09/27,NG
C0206,John,Khan,user206@gmail.com,8123456789,2023-01-29,Nigeria
C0207,David,Khan,user207@gmail.com,07012345678,29-05-2023,Nigeria
C0208,John,Williams,user208@gmail.com,08123456789,08-03-2023,Nigeria
C0209,Esther,Smith,user209@gmail.com,,22-01-2023,Nigeria
C0210,,Smith,user210@gmail.com,8123456789,2023/08/08,NG
C0211,,Ola,user211@gmail,08031234567,2023-06-16,NG
C0212,Esther,Smith,user212@gmail.com,08031234567,05-05-2023,NG
C0213,Mary,Williams,user213@gmail.com,,2023-06-23,NG
C0214,Ahmed,Smith,user214@gmail.com,08031234567,2023/09/29,Nigeria
C0215,Esther,Ola,user215@gmail.com,,2023-03-17,Nigeria
C0216,Ahmed,Ola,user216@gmail,8123456789,2023/03/20,Nigeria
C0217,Ahmed,,user217@gmail.com,0803-123-4567,2023/10/16,NG
C0218,Esther,,user218@gmail.com,07012345678,19-03-2023,Nigeria
C0219,,Williams,user219@gmail.com,07012345678,2023-10-30,NG
C0220,Mary,Ola,user220@gmail.com,08031234567,30-01-2023,NG
C0221,Mary,,user221@gmail.com,08031234567,2023/11/11,NG
C0222,,Ali,user222@gmail.com,,22-01-2023,Nigeria
C0223,Esther,Ali,user223@gmail.com,08123456789,01-02-2023,Nigeria
C0224,Esther,,user224@gmail,,2023-03-30,Nigeria
C0225,,Williams,user225@gmail.com,8123456789,23-03-2023,NG
C0226,David,Williams,user226@gmail.com,07012345678,2023/12/14,Nigeria
C0227,Esther,Smith,user227@gmail.com,8123456789,14-12-2023,NG
C0228,David,,user228@gmail.com,8123456789,18-03-2023,Nigeria
C0229,Ahmed,Ola,user229@gmail.com,,2023/12/24,NG
C0230,Ahmed,Ali,user230@gmail.com,08031234567,2023/06/08,NG
C0231,Esther,,user231@gmail,,2023/12/17,Nigeria
C0232,,Ali,user232@gmail.com,07012345678,2023-06-08,Nigeria
C0233,Esther,,user233@gmail.com,08123456789,2023-03-12,Nigeria
C0234,David,,user234@gmail.com,8123456789,2023/10/04,Nigeria
C0235,Esther,,user235@gmail.com,8123456789,2023-07-12,Nigeria
C0236,Ahmed,,user236@gmail.com,8123456789,2023/03/26,NG
C0237,John,Williams,user237@gmail.com,,02-05-2023,NG
C0238,,Khan,user238@gmail.com,07012345678,2023-08-29,NG
C0239,,Williams,user239@gmail.com,0803-123-4567,2023/09/15,NG
C0240,Ahmed,,user240@gmail,8123456789,12-03-2023,Nigeria
C0241,,,user241@gmail.com,08031234567,2023/12/31,Nigeria
C0242,David,Smith,user242@gmail.com,07012345678,2023/08/19,Nigeria
C0243,,Smith,user243@gmail.com,08123456789,19-08-2023,Nigeria
C0244,,Smith,user244@gmail.com,07012345678,01-05-2023,Nigeria
C0245,Esther,Khan,user245@gmail,08031234567,29-11-2023,Nigeria
C0246,Ahmed,Smith,user246@gmail.com,0803-123-4567,2023-12-23,NG
C0247,,Ali,user247@gmail,08031234567,10-01-2023,Nigeria
C0248,Ahmed,Ali,user248@gmail.com,8123456789,28-09-2023,Nigeria
C0249,David,Khan,user249@gmail.com,08031234567,03-05-2023,NG
C0250,Mary,Smith,user250@gmail.com,0803-123-4567,2023/11/02,Nigeria
C0251,Grace,,user251@gmail,0803-123-4567,2023/01/01,NG
C0252,Grace,Ali,user252@gmail.com,,2023-12-09,NG
C0253,Mary,Ali,user253@gmail.com,8123456789,2023-10-11,NG
C0254,,Smith,user254@gmail.com,07012345678,2023/05/10,Nigeria
C0255,Esther,,user255@gmail,08123456789,2023/12/03,Nigeria
C0256,Esther,Khan,user256@gmail,8123456789,2023/06/23,Nigeria
C0257,,,user257@gmail.com,08123456789,2023-03-11,NG
C0258,John,Ola,user258@gmail.com,08123456789,22-01-2023,NG
C0259,,,user259@gmail.com,07012345678,2023/01/19,Nigeria
C0260,David,Ola,user260@gmail.com,08031234567,02-12-2023,NG
C0261,Mary,,user261@gmail.com,0803-123-4567,14-08-2023,NG
C0262,Ahmed,Williams,user262@gmail.com,07012345678,23-09-2023,Nigeria
C0263,,Smith,user263@gmail.com,08123456789,07-10-2023,NG
C0264,Mary,Smith,user264@gmail.com,07012345678,06-06-2023,NG
C0265,Ahmed,,user265@gmail.com,0803-123-4567,2023/01/22,NG
C0266,,Ola,user266@gmail.com,08031234567,2023/02/08,NG
C0267,Esther,Ali,user267@gmail.com,,2023-03-23,Nigeria
C0268,,Smith,user268@gmail,08123456789,27-11-2023,NG
C0269,,Ali,user269@gmail,08123456789,14-12-2023,NG
C0270,Esther,Williams,user270@gmail.com,8123456789,2023/03/12,NG
C0271,,Ola,user271@gmail.com,08123456789,2023-02-28,Nigeria
C0272,,Ali,user272@gmail.com,8123456789,02-03-2023,NG
C0273,,Khan,user273@gmail.com,07012345678,22-12-2023,Nigeria
C0274,Mary,Khan,user274@gmail.com,0803-123-4567,2023/03/30,NG
C0275,Mary,,user275@gmail.com,07012345678,08-12-2023,Nigeria
C0276,David,Ola,user276@gmail.com,,2023/12/30,Nigeria
C0277,Esther,Ali,user277@gmail.com,08123456789,2023-03-13,NG
C0278,John,Ola,user278@gmail.com,07012345678,2023/08/28,Nigeria
C0279,Mary,Smith,user279@gmail.com,,2023/09/03,NG
C0280,,,user280@gmail.com,08123456789,2023/06/12,Nigeria
C0281,,Williams,user281@gmail.com,07012345678,2023/03/07,Nigeria
C0282,Ahmed,Williams,user282@gmail.com,08031234567,2023/03/05,Nigeria
C0283,David,Khan,user283@gmail,,26-04-2023,NG
C0284,Mary,Ola,user284@gmail,8123456789,2023-05-21,NG
C0285,Mary,Ali,user285@gmail.com,8123456789,2023-10-25,Nigeria
C0286,Esther,,user286@gmail.com,08031234567,2023-01-15,Nigeria
C0287,David,,user287@gmail.com,8123456789,2023/08/02,Nigeria
C0288,,,user288@gmail.com,,04-06-2023,Nigeria
C0289,,Ola,user289@gmail.com,,2023-01-31,NG
C0290,,Williams,user290@gmail.com,07012345678,2023-11-07,NG
C0291,Esther,,user291@gmail.com,07012345678,2023-07-24,NG
C0292,Mary,Ola,user292@gmail.com,08031234567,17-05-2023,Nigeria
C0293,Ahmed,Smith,user293@gmail,0803-123-4567,12-11-2023,Nigeria
C0294,Ahmed,,user294@gmail.com,8123456789,2023-06-10,Nigeria
C0295,,Ali,user295@gmail.com,07012345678,2023-09-12,Nigeria
C0296,,Ali,user296@gmail.com,08123456789,2023/04/21,NG
C0297,John,Smith,user297@gmail.com,8123456789,2023/12/01,NG
C0298,David,Ali,user298@gmail,08031234567,2023-08-09,NG
C0299,Esther,,user299@gmail.com,08031234567,2023-07-25,Nigeria
C0300,Esther,Ali,user300@gmail.com,0803-123-4567,16-09-2023,NG
C0301,Mary,Khan,user301@gmail.com,0803-123-4567,11-07-2023,NG
C0302,Ahmed,Khan,user302@gmail.com,0803-123-4567,2023-09-14,Nigeria
C0303,John,Khan,user303@gmail.com,0803-123-4567,23-09-2023,Nigeria
C0304,Ahmed,Ola,user304@gmail.com,07012345678,25-03-2023,NG
C0305,Esther,Ali,user305@gmail.com,8123456789,2023/09/08,NG
C0306,,,user306@gmail,07012345678,2023-12-11,NG
C0307,David,,user307@gmail.com,,2023-11-19,NG
C0308,David,,user308@gmail.com,8123456789,2023-10-23,Nigeria
C0309,,Khan,user309@gmail.com,,14-11-2023,Nigeria
C0310,Grace,Smith,user310@gmail.com,,2023-02-26,Nigeria
C0311,,Ola,user311@gmail.com,0803-123-4567,2023-12-20,NG
C0312,,,user312@gmail.com,,2023/02/01,Nigeria
C0313,Grace,Ali,user313@gmail.com,,2023/09/02,NG
C0314,Esther,Khan,user314@gmail.com,8123456789,2023/06/25,NG
C0315,David,Ali,user315@gmail.com,08123456789,2023/05/23,NG
C0316,Grace,Ola,user316@gmail.com,,2023/04/17,NG
C0317,Esther,Williams,user317@gmail.com,,21-05-2023,Nigeria
C0318,,Williams,user318@gmail.com,08123456789,2023-05-29,NG
C0319,Mary,Ola,user319@gmail.com,,2023/05/12,NG
C0320,Grace,Khan,user320@gmail.com,07012345678,2023/10/15,NG
C0321,Ahmed,Smith,user321@gmail.com,8123456789,2023-05-03,Nigeria
C0322,Grace,,user322@gmail.com,08031234567,31-07-2023,NG
C0323,Mary,,user323@gmail.com,08031234567,2023-10-09,NG
C0324,,Williams,user324@gmail.com,07012345678,14-06-2023,Nigeria
C0325,Mary,,user325@gmail.com,8123456789,2023-01-20,NG
C0326,Ahmed,Smith,user326@gmail.com,0803-123-4567,2023-09-11,NG
C0327,John,Smith,user327@gmail.com,8123456789,24-02-2023,NG
C0328,,,user328@gmail.com,0803-123-4567,2023/03/10,NG
C0329,David,Khan,user329@gmail.com,07012345678,2023/03/25,NG
C0330,David,,user330@gmail,,22-06-2023,Nigeria
C0331,Ahmed,Ali,user331@gmail.com,0803-123-4567,2023/08/07,NG
C0332,Mary,Williams,user332@gmail.com,08123456789,13-03-2023,NG
C0333,Grace,Smith,user333@gmail.com,08123456789,17-08-2023,NG
C0334,David,Ali,user334@gmail.com,08031234567,2023/05/14,NG
C0335,Grace,Smith,user335@gmail.com,0803-123-4567,2023-06-07,NG
C0336,David,,user336@gmail,07012345678,2023/07/08,Nigeria
C0337,Grace,Khan,user337@gmail.com,0803-123-4567,07-11-2023,NG
C0338,,,user338@gmail.com,,2023-04-22,Nigeria
C0339,,Ali,user339@gmail.com,08031234567,2023-10-16,Nigeria
C0340,Grace,Ali,user340@gmail.com,08123456789,2023/06/17,NG
C0341,Mary,,user341@gmail.com,8123456789,2023-09-08,NG
C0342,John,Williams,user342@gmail,0803-123-4567,2023/08/22,Nigeria
C0343,,,user343@gmail.com,,12-01-2023,NG
C0344,John,,user344@gmail.com,08031234567,24-01-2023,NG
C0345,Mary,Ali,user345@gmail.com,08031234567,2023-08-30,NG
C0346,,Khan,user346@gmail.com,,27-11-2023,NG
C0347,,Williams,user347@gmail.com,0803-123-4567,2023-07-12,Nigeria
C0348,Esther,Smith,user348@gmail,8123456789,2023/07/21,Nigeria
C0349,Grace,,user349@gmail,08031234567,02-06-2023,NG
C0350,,,user350@gmail.com,0803-123-4567,2023-06-27,NG
C0351,Grace,,user351@gmail.com,08031234567,05-12-2023,Nigeria
C0352,Grace,Khan,user352@gmail,8123456789,18-01-2023,Nigeria
C0353,Grace,,user353@gmail,0803-123-4567,2023/04/30,Nigeria
C0354,John,Khan,user354@gmail.com,07012345678,2023/04/30,NG
C0355,Esther,Khan,user355@gmail.com,08123456789,2023/12/05,Nigeria
C0356,,Ola,user356@gmail.com,8123456789,2023/10/30,Nigeria
C0357,,Ali,user357@gmail.com,07012345678,2023/11/26,NG
C0358,Esther,,user358@gmail.com,08123456789,03-06-2023,Nigeria
C0359,,Khan,user359@gmail.com,07012345678,2023-12-29,NG
C0360,John,Ali,user360@gmail.com,0803-123-4567,2023/10/13,Nigeria
C0361,,Khan,user361@gmail.com,07012345678,2023-11-28,NG
C0362,Esther,Smith,user362@gmail.com,08123456789,27-01-2023,NG
C0363,John,,user363@gmail,8123456789,2023/12/10,Nigeria
C0364,,Khan,user364@gmail.com,07012345678,2023-06-05,Nigeria
C0365,Grace,,user365@gmail,0803-123-4567,2023/05/05,Nigeria
C0366,,Khan,user366@gmail.com,07012345678,14-07-2023,NG
C0367,David,Ola,user367@gmail.com,0803-123-4567,2023-08-27,NG
C0368,Esther,Khan,user368@gmail.com,0803-123-4567,2023/01/24,Nigeria
C0369,Ahmed,Smith,user369@gmail.com,8123456789,2023/10/24,NG
C0370,David,Khan,user370@gmail,08123456789,2023/07/14,Nigeria
C0371,,Ali,user371@gmail.com,,22-06-2023,NG
C0372,,Williams,user372@gmail,07012345678,2023-03-28,NG
C0373,Ahmed,Ali,user373@gmail.com,08031234567,2023-09-26,Nigeria
C0374,John,,user374@gmail,08123456789,2023-11-19,Nigeria
C0375,Ahmed,Smith,user375@gmail.com,0803-123-4567,2023-07-11,NG
C0376,,Smith,user376@gmail,8123456789,2023-07-30,Nigeria
C0377,David,Ali,user377@gmail.com,08031234567,2023/09/15,NG
C0378,Ahmed,Smith,user378@gmail.com,8123456789,2023-03-18,Nigeria
C0379,David,,user379@gmail.com,0803-123-4567,10-02-2023,NG
C0380,,Ali,user380@gmail.com,,26-04-2023,Nigeria
C0381,John,Smith,user381@gmail.com,0803-123-4567,10-10-2023,Nigeria
C0382,John,,user382@gmail,0803-123-4567,2023/08/11,NG
C0383,Mary,Ali,user383@gmail.com,08123456789,2023/04/19,NG
C0384,David,Smith,user384@gmail.com,,2023/05/24,Nigeria
C0385,Ahmed,,user385@gmail.com,08123456789,2023-10-28,NG
C0386,Mary,Ola,user386@gmail,08123456789,18-10-2023,NG
C0387,,,user387@gmail.com,,2023/02/10,NG
C0388,John,Smith,user388@gmail.com,08031234567,2023/06/24,NG
C0389,Esther,Smith,user389@gmail.com,0803-123-4567,2023-09-09,NG
C0390,,Williams,user390@gmail,8123456789,05-12-2023,Nigeria
C0391,David,,user391@gmail.com,08031234567,12-02-2023,Nigeria
C0392,,,user392@gmail.com,08123456789,19-07-2023,NG
C0393,Mary,Smith,user393@gmail,07012345678,16-08-2023,NG
C0394,Mary,Khan,user394@gmail,0803-123-4567,2023/08/18,NG
C0395,Mary,Smith,user395@gmail,8123456789,2023/02/17,NG
C0396,,Smith,user396@gmail.com,0803-123-4567,2023/02/13,Nigeria
C0397,Ahmed,,user397@gmail.com,08123456789,18-05-2023,NG
C0398,,Khan,user398@gmail,0803-123-4567,22-05-2023,NG
C0399,,,user399@gmail,07012345678,2023/05/07,NG
